Row #,Species,Count,Location,S/P,Date,LocID,SubID
157,Lesser Swallow-tailed Swift - Panyptila cayennensis,1,Amazonía Lodge,PE-MDD,21 Sep 2012,L1004838,S11683885
158,Fork-tailed Palm-Swift - Tachornis squamata,1,Carretera a Manú--Pilcopata a Atalaya (500-600m),PE-CUS,23 Jul 2012,L1004837,S11210230
159,White-necked Jacobin - Florisuga mellivora,1,Manú Learning Centre--Jardin de Colibrí,PE-MDD,16 Jun 2012,L1599928,S11037557
160,White-tipped Sicklebill - Eutoxeres aquila,1,Bosque de Protección Alto Mayo--Llanteria/Afluente vicinity (km 389-391),PE-SAM,28 Dec 2017,L1234162,S41377618
161,Buff-tailed Sicklebill - Eutoxeres condamini,1,Manú Cloud Forest Lodge (1500-1700m),PE-CUS,20 Aug 2013,L1004831,S15124575
162,Rufous-breasted Hermit - Glaucis hirsutus,1,Hotel Minca,CO-MAG,20 Jan 2013,L2768764,S12676878
163,Pale-tailed Barbthroat - Threnetes leucurus,1,Erika Lodge,PE-MDD,31 Jul 2012,L1532805,S11299277
164,White-bearded Hermit - Phaethornis hispidus,1,Amazonía Lodge,PE-MDD,05 Oct 2012,L1004838,S11792317
165,Green Hermit - Phaethornis guy,1,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,12 Jul 2013,L599445,S14654052
166,Tawny-bellied Hermit - Phaethornis syrmatophorus,1,Las Tangaras ProAves Reserve,CO-CHO,03 Jan 2015,L856448,S21292010
167,Koepcke's Hermit - Phaethornis koepckeae,1,Asociacion para La Conservacion de Aves y La Biodiversidad Koepcke's Hermit,PE-SAM,18 Jun 2013,L2240938,S14473577
168,Needle-billed Hermit - Phaethornis philippii,1,Reserva Refugio Amazonas,PE-MDD,02 Jun 2015,L1755368,S23794563
169,Straight-billed Hermit - Phaethornis bourcieri,2,RN Allpahuayo Mishana--Allpahuayo Research Center,PE-LOR,15 Dec 2016,L2294668,S33034867
170,Long-billed Hermit - Phaethornis longirostris,1,Santa Marta--Minca to El Dorado Road ca. 600-1700 m,CO-MAG,15 Jan 2013,L1895777,S12627198
171,Great-billed Hermit - Phaethornis malaris,1,Manú Learning Centre--Jardin de Colibrí,PE-MDD,19 Jun 2012,L1599928,S11037561
172,Pale-bellied Hermit - Phaethornis anthophilus,1,Hotel Minca,CO-MAG,19 Mar 2013,L2768764,S13641645
173,Black-throated Hermit - Phaethornis atrimentalis,1,Waqanki/Quebrada Mishquiyaquillo,PE-SAM,12 May 2016,L1849133,S29586545
174,Stripe-throated Hermit - Phaethornis striigularis,1,Minca (y alrededores/general area),CO-MAG,25 Feb 2014,L1161669,S17219600
